w_id,user_id,trainer_id,o_distance,o_time,o_pace,d_distance_sum,d_distance_std,d_distance_var,d_time_sum,d_time_std,d_time_var,d_pace_mean,d_pace_std,d_pace_var,r_distance,r_speed,r_time,r_pace,p_running,p_walking,p_unknown,p_welldone,p_has_objective,age,height,weight,gender,bmi,weight_situation,calories,workout_date,mean_rating,rating,month,weekday,weeknumber,year,days_from_previous,user_pop,dec_user_pop
141355,d4c074c60c57087c95fd0a17f986210c,c4616f5a24a66668f11ca4fa80525dc4,2000,1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5781.04212859273,9.163975110065904,2114.599,432.909256229818,0.4166666666666667,0.1666666666666666,0.0833333333333333,1.0,0.9166666666666666,33,156,60.0,0,24.65483234714004,4,312,2018-05-11 12:22:16,5.0,5,5,4,19,2018,0,0,0.0
141357,5bca8566db79f3788be9efd96c9ed70d,c81e728d9d4c2f636f067f89cc14862c,6000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6024.259802997112,10.595435749742313,2114.873,340.1261203171118,0.5,0.0,0.5,1.0,0.5,60,178,75.0,1,23.671253629592226,4,407,2018-05-11 14:58:12,4.0,4,5,4,19,2018,0,0,0.0
141412,9910489e4ff310896dce21303a8e7fda,0b0b0994d12ad343511adfbfc364256e,8400,1800,0.0,-0.0733918674549477,0.0035613896674274,1.2683496363259269e-05,-0.0933333333333333,0.00568194020071,3.228444444444444e-05,0.0,0.0,0.0,13226.780266761203,11.31362023734139,4214.0,358.88131920144195,0.96,0.0,0.04,0.125,0.96,42,168,69.0,1,24.44727891156463,4,821,2018-05-11 22:22:41,4.0,4,5,4,19,2018,0,0,0.0
141408,db4db5ec58a9433419cb104eeab915c2,c81e728d9d4c2f636f067f89cc14862c,5550,2025,336.42857142857144,-0.0958262520585401,0.0057536566906541,3.3104565313909664e-05,0.1247863247863247,0.0210153252181555,0.0004416438940248,0.0203502259598468,0.0209884372705299,0.0004405144990589,5598.865481615315,10.128740846471716,2019.0,358.68619482906263,0.9285714285714286,0.0,0.0714285714285714,0.0,0.9285714285714286,29,174,70.0,1,23.120623596247853,4,423,2018-05-12 06:10:13,4.0,4,5,5,19,2018,0,0,0.0
141432,d1f255a373a3cef72e03aa9d980c7eca,4e732ced3463d06de0ca9a15b6153677,13000,5340,117.5,0.0,0.0,0.0,1.059476022654676,0.3119552007860224,0.0973160472974475,0.0128867944985011,0.018858388671948,0.0003556388233022,14591.13441903566,8.005021185836693,4981.001,13467.690156693288,0.625,0.0,0.125,0.4285714285714285,0.875,35,163,70.0,1,26.346494034400997,5,827,2018-05-12 06:39:48,5.0,5,5,5,19,2018,0,0,0.0
141487,50cf0fe63e0ff857e1c9d01d827267ca,c4616f5a24a66668f11ca4fa80525dc4,1100,1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4005.5311096198857,6.7706634172361815,2072.174,631.9132032920623,0.4285714285714285,0.4285714285714285,0.1428571428571428,1.0,0.8571428571428571,40,163,71.0,0,26.722872520606725,5,256,2018-05-12 12:17:14,3.0,3,5,5,19,2018,0,0,0.0
141746,b433da1b32b5ca96c0ba7fcb9edba97d,68c86f3f9a4eefdc3180f488ac749db5,14190,5296,245.2941176470588,-0.2902793113025564,0.0073839393600856,5.4522560473422336e-05,-1.646252985442252,0.0835178626693342,0.0069752333848537,-0.0381253248003908,0.0802254207543436,0.0064361181352114,15496.078841284869,10.934594934344313,5883.0,1217.95487409143,0.9117647058823528,0.0,0.0294117647058823,0.0303030303030303,0.9705882352941176,51,174,73.0,1,24.111507464658477,4,1014,2018-05-13 18:04:53,5.0,5,5,6,19,2018,0,0,0.0
141749,d1f255a373a3cef72e03aa9d980c7eca,4e732ced3463d06de0ca9a15b6153677,20500,7500,175.9090909090909,0.0,0.0,0.0,1.064922405165456,0.285004734017562,0.0812276984124212,0.0067111277423142,0.0354534008465519,0.0012569436315862,22183.49174588564,8.885001529155888,7267.438,3958.086390238894,0.7272727272727273,0.0,0.0909090909090909,0.3,0.9090909090909092,35,163,70.0,1,26.346494034400997,5,1258,2018-05-13 18:18:17,4.25,4,5,6,19,2018,1,1,0.0
141647,51efec699670c82f306c1b8251b8a6ae,f4d0e2e7fc057a58f7ca4a391f01940a,15000,4875,162.5,-0.000144902539969,7.245126998453392e-05,5.249186522371825e-09,0.0184615384615384,0.0092307692307692,8.520710059171599e-05,0.0093018726357824,0.0093018726357824,8.6524834532319e-05,15454.363478686018,8.219216345080477,5101.0,508.88758327005615,0.5,0.0,0.5,0.0,0.5,47,179,82.0,1,25.592209980961893,5,1141,2018-05-14 14:09:08,4.5,5,5,0,20,2018,0,0,0.0
141654,804fce744c17d9250210436d98709490,c4616f5a24a66668f11ca4fa80525dc4,3600,840,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9419.611335641472,6.774777008936017,5623.536,573.8801087225163,0.5,0.0,0.125,1.0,0.875,51,160,58.0,0,22.65625,4,492,2018-05-14 14:57:08,4.0,4,5,0,20,2018,0,0,0.0
141890,50cf0fe63e0ff857e1c9d01d827267ca,c4616f5a24a66668f11ca4fa80525dc4,3700,420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4211.535298997536,6.787766582644871,2027.965,688.7565984625836,0.4642857142857143,0.1428571428571428,0.0357142857142857,1.0,0.9642857142857144,40,163,71.0,0,26.722872520606725,5,269,2018-05-14 16:26:06,5.0,5,5,0,20,2018,2,1,0.0
141900,f7eb41294abbe2078d74593a0a16951e,f4d0e2e7fc057a58f7ca4a391f01940a,10000,4070,121.33333333333331,-0.0280832979237745,0.0024419599467551,5.963168381556332e-06,0.2104958305161145,0.0392413417820708,0.0015398829048572,0.0255008718124041,0.0292190565568378,0.0008537532660716,13057.336241983208,9.370863689840382,4434.0,657.254753086684,0.4666666666666667,0.0,0.0666666666666666,0.1428571428571428,0.9333333333333332,44,179,74.0,1,23.095409007209515,4,784,2018-05-14 18:23:15,5.0,5,5,0,20,2018,0,0,0.0
141899,6425d167c06fe773378b10b546b6e923,c4616f5a24a66668f11ca4fa80525dc4,2000,3300,300.0,-0.0073814580912995,0.0022837269154239,5.215408624231911e-06,0.1661904761904762,0.0468622904160535,0.0021960742630385,0.0433787199659852,0.0477301134537923,0.0022781637303118,6323.867280896408,6.914738152670537,3284.0,522.2436115146844,0.0,0.75,0.25,0.0,0.75,45,175,75.0,1,24.489795918367346,4,242,2018-05-14 19:09:12,5.0,5,5,0,20,2018,0,0,0.0
142026,5bca8566db79f3788be9efd96c9ed70d,c81e728d9d4c2f636f067f89cc14862c,6000,1980,165.0,0.0,0.0,0.0,-0.0163959595959595,0.0081979797979797,6.720687276808466e-05,-0.0081979797979798,0.0081979797979798,6.720687276808605e-05,6258.710180098657,10.512684236780265,2102.955,342.59408329572784,0.5,0.0,0.5,0.0,0.5,60,178,75.0,1,23.671253629592226,4,422,2018-05-15 17:14:47,4.75,5,5,1,20,2018,4,1,0.0
142030,e355ad06c5a89f911fbb0aff2de52435,e71ad22eed10d8f6f8242f67695b215f,5000,1750,175.0,-0.0002869265686602,0.0001434632843301,2.0581713950784504e-08,0.0382857142857142,0.0191428571428571,0.0003664489795918,0.0192807882567719,0.0192807882567719,0.0003717487958024,5067.270206897925,7.672736445610575,1734.0,555.5803130405258,0.5,0.0,0.5,0.0,0.5,39,170,58.0,0,20.06920415224914,4,265,2018-05-15 17:44:16,4.0,4,5,1,20,2018,0,0,0.0
142024,d148c06273c73ec0461b6f82575ef353,c16a5320fa475530d9583c34fd356ef5,11900,4834,248.1818181818182,-0.044574979097793,0.006199273778758,3.843099538399652e-05,0.1482405027731925,0.0444775473998538,0.0019782522227062,0.0069705815198659,0.0283610292308238,0.0008043479790316,13159.715687866748,7.567390441655106,4807.0,1018.2361531530394,0.6363636363636364,0.1818181818181818,0.0909090909090909,0.0,0.9090909090909092,43,180,74.0,1,22.839506172839503,4,839,2018-05-15 23:33:22,5.0,5,5,1,20,2018,0,0,0.0
142041,096ce33c96792e289516407eb29b62bb,c4616f5a24a66668f11ca4fa80525dc4,3200,1200,0.0,-0.1267331279843531,0.010424563037359,0.0001086715145198,-0.1511111111111111,0.0172301267965818,0.0002968772694262,0.0,0.0,0.0,6183.216564133966,8.363611262291256,2310.0,492.7396236618948,0.4705882352941176,0.1764705882352941,0.0588235294117647,0.0625,0.9411764705882352,30,165,59.0,0,21.6712580348944,4,297,2018-05-16 05:26:26,5.0,5,5,2,20,2018,0,0,0.0
142152,50cf0fe63e0ff857e1c9d01d827267ca,c4616f5a24a66668f11ca4fa80525dc4,4100,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5043.291387155652,6.637256766943175,2507.075,587.5859078536613,0.4285714285714285,0.4285714285714285,0.1428571428571428,1.0,0.8571428571428571,40,163,71.0,0,26.722872520606725,5,322,2018-05-16 16:55:49,5.0,5,5,2,20,2018,2,2,0.75
