,trainer,rank,users,women,men,accuracy,f2,recall,precision,informedness,ndcg,dtr,dpr,dtr_ndcg,dtr_dtr,dtr_dpr,dpr_ndcg,dpr_dtr,dpr_dpr
0,4842,1.0,1,1,0,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,,1.0,1.0,,1.0,1.0
1,4842,2.0,2,2,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,4842,3.0,2,2,0,0.5,0.5,0.5,0.5,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,4842,4.0,3,3,0,0.667,0.704,0.667,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,4842,5.0,4,4,0,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,4842,6.0,5,5,0,0.6,0.574,0.6,0.867,0.611,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,4842,7.0,6,5,1,0.667,0.645,0.667,0.889,0.644,1.0,1.198,1.657,0.9688379559934575,0.97,1.334,0.9688379559934575,0.97,1.334
7,4842,8.0,6,5,1,0.667,0.645,0.667,0.889,0.644,1.0,1.091,1.509,1.0,1.091,1.509,1.0,1.091,1.509
8,4842,9.0,6,5,1,0.667,0.645,0.667,0.889,0.733,1.0,1.18,1.657,1.0,1.18,1.657,0.9365418779274707,0.618,0.848
9,4842,10.0,6,5,1,0.667,0.637,0.667,0.833,0.611,1.0,1.16,1.657,1.0,1.16,1.657,0.939906301199815,0.607,0.848
10,2,1.0,4,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.031,1.374,1.0,1.031,1.374,1.0,1.031,1.374
11,2,2.0,5,3,2,0.8,0.798,0.8,0.9,0.75,1.0,1.169,1.185,1.0,1.169,1.185,1.0,1.169,1.185
12,2,3.0,8,3,5,0.875,0.876,0.875,0.938,0.897,1.0,1.101,0.964,0.6489266791213484,1.01,1.09,1.0,1.101,0.964
13,2,4.0,9,3,6,0.889,0.909,0.889,1.0,0.0,1.0,1.225,1.049,1.0,1.225,1.049,1.0,1.225,1.049
14,2,5.0,9,3,6,0.889,0.888,0.889,0.926,0.857,1.0,1.241,1.392,0.4521369370757875,1.128,1.16,0.4521369370757875,1.128,1.16
15,2,6.0,9,3,6,0.778,0.766,0.778,0.815,0.536,1.0,0.884,0.652,1.0,0.884,0.652,0.43743573809942465,1.169,1.16
16,2,7.0,9,3,6,0.778,0.766,0.778,0.815,0.536,1.0,0.78,0.575,0.4891364900315126,1.143,1.03,0.4891364900315126,1.143,1.03
17,2,8.0,9,3,6,0.889,0.909,0.889,1.0,0.0,1.0,0.79,0.677,0.3562071871080222,0.977,0.912,0.3562071871080222,0.977,0.912
18,2,9.0,9,3,6,0.889,0.89,0.889,0.944,0.875,1.0,0.827,0.65,1.0,0.827,0.65,0.3934418725907076,1.177,0.942
19,2,10.0,9,3,6,0.889,0.909,0.889,1.0,0.0,1.0,0.779,0.667,0.3333333333333333,1.011,0.867,0.3333333333333333,1.011,0.867
20,4198,1.0,2,1,1,0.5,0.556,0.5,1.0,0.0,1.0,0.792,1.585,1.0,0.792,1.585,1.0,0.792,1.585
21,4198,2.0,2,1,1,0.5,0.5,0.5,0.5,0.333,1.0,0.792,1.585,1.0,0.792,1.585,1.0,0.792,1.585
22,4198,3.0,6,3,3,0.833,0.857,0.833,1.0,0.733,1.0,1.236,1.816,1.0,1.236,1.816,0.8027312185235519,0.703,0.603
23,4198,4.0,6,3,3,0.833,0.824,0.833,0.917,0.86,1.0,1.181,1.659,0.7940816511255306,0.97,0.78,0.7940816511255306,0.97,0.78
24,4198,5.0,6,3,3,0.833,0.852,0.833,1.0,0.7,1.0,1.206,1.816,1.0,1.206,1.816,0.7980364058585894,0.792,0.711
25,4198,6.0,7,4,3,0.857,0.857,0.857,0.857,0.6,1.0,0.85,0.865,0.8076201096612761,0.869,1.047,0.8076201096612761,0.869,1.047
26,4198,7.0,9,5,4,0.889,0.889,0.889,0.889,0.6,1.0,0.886,0.947,0.744078176683372,1.091,1.112,1.0,0.886,0.947
27,4198,8.0,9,5,4,0.778,0.795,0.778,1.0,0.667,1.0,0.958,0.947,1.0,0.958,0.947,1.0,0.958,0.947
28,4198,9.0,11,5,6,0.909,0.907,0.909,0.955,0.913,1.0,0.974,1.049,1.0,0.974,1.049,1.0,0.974,1.049
29,4198,10.0,12,5,7,1.0,1.0,1.0,1.0,1.0,1.0,0.954,0.979,1.0,0.954,0.979,1.0,0.954,0.979
30,26,1.0,1,0,1,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,,1.0,1.0,,1.0,1.0
31,26,2.0,1,0,1,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,,1.0,1.0,,1.0,1.0
32,26,3.0,3,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.001,0.841,1.0,1.001,0.841,1.0,1.001,0.841
33,26,4.0,3,1,2,0.667,0.611,0.667,0.5,0.5,1.0,0.774,0.841,1.0,0.774,0.841,1.0,0.774,0.841
34,26,5.0,3,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.001,1.77,1.0,1.001,1.77,1.0,0.623,0.841
35,26,6.0,3,1,2,1.0,1.0,1.0,1.0,1.0,1.0,0.885,1.77,1.0,1.052,0.841,1.0,1.052,0.841
36,26,7.0,3,1,2,1.0,1.0,1.0,1.0,1.0,1.0,0.885,1.77,1.0,0.885,1.77,1.0,0.885,1.77
37,26,8.0,3,1,2,1.0,1.0,1.0,1.0,1.0,1.0,0.885,1.77,1.0,0.885,1.77,0.6309297535714575,0.516,0.841
38,26,9.0,3,1,2,1.0,1.0,1.0,1.0,1.0,1.0,0.885,1.77,1.0,0.885,1.77,1.0,0.885,1.77
39,26,10.0,3,1,2,1.0,1.0,1.0,1.0,1.0,1.0,0.885,1.77,1.0,1.052,0.841,1.0,1.052,0.841
40,9928,1.0,1,0,1,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,,1.0,1.0,,1.0,1.0
41,9928,2.0,1,0,1,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,,1.0,1.0,,1.0,1.0
42,9928,3.0,1,0,1,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,,1.0,1.0,,1.0,1.0
43,9928,4.0,2,0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
44,9928,5.0,2,0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
45,9928,6.0,2,0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
46,9928,7.0,2,0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
47,9928,8.0,2,0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
48,9928,9.0,2,0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
49,9928,10.0,3,0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
50,5200,1.0,2,0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
51,5200,2.0,3,0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
52,5200,3.0,3,0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
53,5200,4.0,3,0,3,0.667,0.704,0.667,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
54,5200,5.0,4,0,4,0.75,0.75,0.75,0.75,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
55,5200,6.0,5,1,4,0.6,0.6,0.6,0.6,0.6,1.0,1.019,1.09,1.0,1.019,1.09,1.0,1.019,1.09
56,5200,7.0,5,1,4,0.6,0.6,0.6,0.6,0.5,1.0,0.857,1.09,1.0,0.857,1.09,1.0,0.857,1.09
57,5200,8.0,5,1,4,0.6,0.533,0.6,0.4,0.5,1.0,0.857,1.09,1.0,0.857,1.09,1.0,0.857,1.09
58,5200,9.0,5,1,4,0.6,0.533,0.6,0.4,0.5,1.0,0.857,1.09,0.5718699813065837,1.13,0.817,1.0,0.857,1.09
59,5200,10.0,5,1,4,0.6,0.589,0.6,0.7,0.45,1.0,0.883,1.09,0.6508632890297149,0.932,0.817,1.0,0.883,1.09
60,9223,1.0,4,1,3,1.0,1.0,1.0,1.0,1.0,1.0,1.038,0.607,1.0,1.038,0.607,1.0,1.038,0.607
61,9223,2.0,4,1,3,1.0,1.0,1.0,1.0,1.0,1.0,0.809,0.607,1.0,0.809,0.607,1.0,0.809,0.607
62,9223,3.0,5,2,3,1.0,1.0,1.0,1.0,1.0,1.0,0.988,0.79,1.0,0.988,0.79,1.0,0.988,0.79
63,9223,4.0,6,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.088,1.33,1.0,1.088,1.33,1.0,1.088,1.33
64,9223,5.0,6,3,3,0.833,0.824,0.833,0.917,0.767,1.0,0.846,0.551,0.9676621672624736,0.954,0.637,0.9676621672624736,0.954,0.637
65,9223,6.0,8,4,4,0.875,0.87,0.875,0.917,0.833,1.0,0.831,0.571,0.7926891114201972,1.037,1.107,0.7926891114201972,1.037,1.107
