,trainer,rank,users,women,men,ndcg,dtr,dpr,mitigated
0,4842,1.0,1,1,0,,1.0,1.0,0
1,4842,1.0,1,1,0,,1.0,1.0,1
2,4842,2.0,2,2,0,1.0,1.0,1.0,0
3,4842,2.0,2,2,0,1.0,1.0,1.0,1
4,4842,3.0,2,2,0,1.0,1.0,1.0,0
5,4842,3.0,2,2,0,1.0,1.0,1.0,1
6,4842,4.0,3,3,0,1.0,1.0,1.0,0
7,4842,4.0,3,3,0,1.0,1.0,1.0,1
8,4842,5.0,4,4,0,1.0,1.0,1.0,0
9,4842,5.0,4,4,0,1.0,1.0,1.0,1
10,4842,6.0,5,5,0,1.0,1.0,1.0,0
11,4842,6.0,5,5,0,1.0,1.0,1.0,1
12,4842,7.0,6,5,1,1.0,1.198,1.657,0
13,4842,7.0,6,5,1,0.9688379559934575,0.97,1.334,1
14,4842,8.0,6,5,1,1.0,1.091,1.509,0
15,4842,8.0,6,5,1,1.0,1.091,1.509,1
16,4842,9.0,6,5,1,1.0,1.18,1.657,0
17,4842,9.0,6,5,1,1.0,1.18,0.848,1
18,4842,10.0,6,5,1,1.0,1.16,1.657,0
19,4842,10.0,6,5,1,1.0,1.16,0.848,1
20,2,1.0,4,3,1,1.0,1.031,1.374,0
21,2,1.0,4,3,1,1.0,1.031,1.374,1
22,2,2.0,5,3,2,1.0,1.169,1.185,0
23,2,2.0,5,3,2,1.0,1.169,1.185,1
24,2,3.0,8,3,5,1.0,1.101,0.964,0
25,2,3.0,8,3,5,0.6489266791213484,1.01,0.964,1
26,2,4.0,9,3,6,1.0,1.225,1.049,0
27,2,4.0,9,3,6,1.0,1.225,1.049,1
28,2,5.0,9,3,6,1.0,1.241,1.392,0
29,2,5.0,9,3,6,0.4521369370757875,1.128,1.16,1
30,2,6.0,9,3,6,1.0,0.884,0.652,0
31,2,6.0,9,3,6,1.0,0.884,1.16,1
32,2,7.0,9,3,6,1.0,0.78,0.575,0
33,2,7.0,9,3,6,0.4891364900315126,1.143,1.03,1
34,2,8.0,9,3,6,1.0,0.79,0.677,0
35,2,8.0,9,3,6,0.3562071871080222,0.977,0.912,1
36,2,9.0,9,3,6,1.0,0.827,0.65,0
37,2,9.0,9,3,6,1.0,0.827,0.942,1
38,2,10.0,9,3,6,1.0,0.779,0.667,0
39,2,10.0,9,3,6,0.3333333333333333,1.011,0.867,1
40,4198,1.0,2,1,1,1.0,0.792,1.585,0
41,4198,1.0,2,1,1,1.0,0.792,1.585,1
42,4198,2.0,2,1,1,1.0,0.792,1.585,0
43,4198,2.0,2,1,1,1.0,0.792,1.585,1
44,4198,3.0,6,3,3,1.0,1.236,1.816,0
45,4198,3.0,6,3,3,1.0,1.236,0.603,1
46,4198,4.0,6,3,3,1.0,1.181,1.659,0
47,4198,4.0,6,3,3,0.7940816511255306,0.97,0.78,1
48,4198,5.0,6,3,3,1.0,1.206,1.816,0
49,4198,5.0,6,3,3,1.0,1.206,0.711,1
50,4198,6.0,7,4,3,1.0,0.85,0.865,0
51,4198,6.0,7,4,3,0.8076201096612761,0.869,1.047,1
52,4198,7.0,9,5,4,1.0,0.886,0.947,0
53,4198,7.0,9,5,4,0.744078176683372,1.091,0.947,1
54,4198,8.0,9,5,4,1.0,0.958,0.947,0
55,4198,8.0,9,5,4,1.0,0.958,0.947,1
56,4198,9.0,11,5,6,1.0,0.974,1.049,0
57,4198,9.0,11,5,6,1.0,0.974,1.049,1
58,4198,10.0,12,5,7,1.0,0.954,0.979,0
59,4198,10.0,12,5,7,1.0,0.954,0.979,1
60,26,1.0,1,0,1,,1.0,1.0,0
61,26,1.0,1,0,1,,1.0,1.0,1
62,26,2.0,1,0,1,,1.0,1.0,0
63,26,2.0,1,0,1,,1.0,1.0,1
64,26,3.0,3,1,2,1.0,1.001,0.841,0
65,26,3.0,3,1,2,1.0,1.001,0.841,1
66,26,4.0,3,1,2,1.0,0.774,0.841,0
67,26,4.0,3,1,2,1.0,0.774,0.841,1
68,26,5.0,3,1,2,1.0,1.001,1.77,0
69,26,5.0,3,1,2,1.0,1.001,0.841,1
70,26,6.0,3,1,2,1.0,0.885,1.77,0
71,26,6.0,3,1,2,1.0,1.052,0.841,1
72,26,7.0,3,1,2,1.0,0.885,1.77,0
73,26,7.0,3,1,2,1.0,0.885,1.77,1
74,26,8.0,3,1,2,1.0,0.885,1.77,0
75,26,8.0,3,1,2,1.0,0.885,0.841,1
76,26,9.0,3,1,2,1.0,0.885,1.77,0
77,26,9.0,3,1,2,1.0,0.885,1.77,1
78,26,10.0,3,1,2,1.0,0.885,1.77,0
79,26,10.0,3,1,2,1.0,1.052,0.841,1
80,9928,1.0,1,0,1,,1.0,1.0,0
81,9928,1.0,1,0,1,,1.0,1.0,1
82,9928,2.0,1,0,1,,1.0,1.0,0
83,9928,2.0,1,0,1,,1.0,1.0,1
84,9928,3.0,1,0,1,,1.0,1.0,0
85,9928,3.0,1,0,1,,1.0,1.0,1
86,9928,4.0,2,0,2,1.0,1.0,1.0,0
87,9928,4.0,2,0,2,1.0,1.0,1.0,1
88,9928,5.0,2,0,2,1.0,1.0,1.0,0
89,9928,5.0,2,0,2,1.0,1.0,1.0,1
90,9928,6.0,2,0,2,1.0,1.0,1.0,0
91,9928,6.0,2,0,2,1.0,1.0,1.0,1
92,9928,7.0,2,0,2,1.0,1.0,1.0,0
93,9928,7.0,2,0,2,1.0,1.0,1.0,1
94,9928,8.0,2,0,2,1.0,1.0,1.0,0
95,9928,8.0,2,0,2,1.0,1.0,1.0,1
96,9928,9.0,2,0,2,1.0,1.0,1.0,0
97,9928,9.0,2,0,2,1.0,1.0,1.0,1
98,9928,10.0,3,0,3,1.0,1.0,1.0,0
99,9928,10.0,3,0,3,1.0,1.0,1.0,1
100,5200,1.0,2,0,2,1.0,1.0,1.0,0
101,5200,1.0,2,0,2,1.0,1.0,1.0,1
102,5200,2.0,3,0,3,1.0,1.0,1.0,0
103,5200,2.0,3,0,3,1.0,1.0,1.0,1
104,5200,3.0,3,0,3,1.0,1.0,1.0,0
105,5200,3.0,3,0,3,1.0,1.0,1.0,1
106,5200,4.0,3,0,3,1.0,1.0,1.0,0
107,5200,4.0,3,0,3,1.0,1.0,1.0,1
108,5200,5.0,4,0,4,1.0,1.0,1.0,0
109,5200,5.0,4,0,4,1.0,1.0,1.0,1
110,5200,6.0,5,1,4,1.0,1.019,1.09,0
111,5200,6.0,5,1,4,1.0,1.019,1.09,1
112,5200,7.0,5,1,4,1.0,0.857,1.09,0
113,5200,7.0,5,1,4,1.0,0.857,1.09,1
114,5200,8.0,5,1,4,1.0,0.857,1.09,0
115,5200,8.0,5,1,4,1.0,0.857,1.09,1
116,5200,9.0,5,1,4,1.0,0.857,1.09,0
117,5200,9.0,5,1,4,0.5718699813065837,1.13,1.09,1
118,5200,10.0,5,1,4,1.0,0.883,1.09,0
119,5200,10.0,5,1,4,0.6508632890297149,0.932,1.09,1
120,9223,1.0,4,1,3,1.0,1.038,0.607,0
121,9223,1.0,4,1,3,1.0,1.038,0.607,1
122,9223,2.0,4,1,3,1.0,0.809,0.607,0
123,9223,2.0,4,1,3,1.0,0.809,0.607,1
124,9223,3.0,5,2,3,1.0,0.988,0.79,0
125,9223,3.0,5,2,3,1.0,0.988,0.79,1
126,9223,4.0,6,3,3,1.0,1.088,1.33,0
127,9223,4.0,6,3,3,1.0,1.088,1.33,1
128,9223,5.0,6,3,3,1.0,0.846,0.551,0
129,9223,5.0,6,3,3,0.9676621672624736,0.954,0.637,1
130,9223,6.0,8,4,4,1.0,0.831,0.571,0
131,9223,6.0,8,4,4,0.7926891114201972,1.037,1.107,1
132,9223,7.0,9,4,5,1.0,0.82,0.572,0
133,9223,7.0,9,4,5,1.0,0.82,0.616,1
134,9223,8.0,9,4,5,1.0,0.853,0.607,0
135,9223,8.0,9,4,5,0.7300976613335703,1.022,1.195,1
136,9223,9.0,9,4,5,1.0,0.807,0.598,0
137,9223,9.0,9,4,5,1.0,0.807,1.278,1
138,9223,10.0,9,4,5,1.0,0.84,0.587,0
139,9223,10.0,9,4,5,1.0,0.84,1.113,1
140,31,1.0,2,0,2,,1.0,1.0,0
141,31,1.0,2,0,2,,1.0,1.0,1
142,31,2.0,2,0,2,1.0,1.0,1.0,0
143,31,2.0,2,0,2,1.0,1.0,1.0,1
144,31,3.0,2,0,2,,1.0,1.0,0
145,31,3.0,2,0,2,,1.0,1.0,1
146,31,4.0,3,0,3,1.0,1.0,1.0,0
147,31,4.0,3,0,3,1.0,1.0,1.0,1
148,31,5.0,3,0,3,1.0,1.0,1.0,0
149,31,5.0,3,0,3,1.0,1.0,1.0,1
150,31,6.0,4,0,4,1.0,1.0,1.0,0
151,31,6.0,4,0,4,1.0,1.0,1.0,1
152,31,7.0,4,0,4,1.0,1.0,1.0,0
153,31,7.0,4,0,4,1.0,1.0,1.0,1
154,31,8.0,5,1,4,1.0,0.848,0.605,0
155,31,8.0,5,1,4,1.0,0.848,1.09,1
156,31,9.0,8,1,7,1.0,0.912,0.857,0
157,31,9.0,8,1,7,1.0,0.912,0.857,1
158,31,10.0,8,1,7,1.0,0.886,0.857,0
159,31,10.0,8,1,7,1.0,0.886,0.857,1
160,2155,1.0,2,0,2,1.0,1.0,1.0,0
161,2155,1.0,2,0,2,1.0,1.0,1.0,1
162,2155,2.0,3,0,3,1.0,1.0,1.0,0
163,2155,2.0,3,0,3,1.0,1.0,1.0,1
164,2155,3.0,3,0,3,1.0,1.0,1.0,0
165,2155,3.0,3,0,3,1.0,1.0,1.0,1
166,2155,4.0,3,0,3,1.0,1.0,1.0,0
167,2155,4.0,3,0,3,1.0,1.0,1.0,1
168,2155,5.0,3,0,3,1.0,1.0,1.0,0
169,2155,5.0,3,0,3,1.0,1.0,1.0,1
170,2155,6.0,3,0,3,1.0,1.0,1.0,0
